ID_импорт;ID_экспорт;Номер вагона;Страна отправления_импорт;Страна назначения_экспорт;Станция отправления_импорт;Станция назначения_импорт;Станция отправления_экспорт;Станция назначения_экспорт;Дата прибытия_импорт;Дата отправления_экспорт;ves_import;ves_export;Наименование груза;БИН_импорт;БИН_экспорт;Станция_прибытия_импорт;Станция_отправления_экспорт;naimenovanie_plat;комент КТЖ;strana_otpr;strana_nazn;
278881;497018;98000193;УЗБЕКИСТАН       ;РОССИЯ           ;АНГРЕН          ;КОКШЕТАУ 1      ;КОКШЕТАУ 1      ;ПЕТРОПАВЛОВС    ;2025-01-18;2025-01-18 19:41:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,3084E+11;1,3084E+11;687008;687008;"АО ""Асты? транс""";за парожни вагоны взыскивается на месте ;860;643;
1251669;1373620;29843596;КЫРГЫЗСТАН       ;УЗБЕКИСТАН       ;САРЫАГАШ ЭК     ;АРЫС 1          ;АРЫС 1          ;САРЫАГАШ ЭК     ;2025-02-12;2025-02-19 14:50:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,4034E+11;1,4034E+11;698004;698004;ТОО ЛОГСОФТ;за парожни вагоны взыскивается на месте ;417;860;
1252410;1296125;98001571;УЗБЕКИСТАН       ;РОССИЯ           ;САРЫАГАШ ЭК     ;КОКШЕТАУ 1      ;КОКШЕТАУ 1      ;ПЕТРОПАВ.КЗХ    ;2025-02-11;2025-02-11 12:37:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,3084E+11;1,3084E+11;687008;687008;"АО ""Асты? транс""";за парожни вагоны взыскивается на месте ;860;643;
1352335;2013336;95166765;УЗБЕКИСТАН       ;РОССИЯ           ;САРЫАГАШ ЭК     ;КОКШЕТАУ 1      ;КОКШЕТАУ 1      ;ПЕТРОПАВ.КЗХ    ;2025-02-26;2025-03-08 11:13:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;1,3084E+11;1,3084E+11;687008;687008;"АО ""Асты? транс""";за парожни вагоны взыскивается на месте ;860;643;
1366902;1932996;98278534;РОССИЯ           ;АФГАНИСТАН       ;АЛИМБЕТ (ЭКС    ;АЙТЕКЕ II       ;АЙТЕКЕ II       ;БОЛАШАК(ЭКСП    ;2025-02-25;2025-02-28 10:35:00;70000;70000;ПШЕНИЦА;40340003329;40340003329;669105;669105;ТОО ЖАЙЫЛХАНАКТЮБИНСКАЯ ОБЛАСТЬ;;643;4;
1382910;1932976;99603508;РОССИЯ           ;АФГАНИСТАН       ;АЛИМБЕТ (ЭКС    ;АЙТЕКЕ II       ;АЙТЕКЕ II       ;БОЛАШАК(ЭКСП    ;2025-02-25;2025-02-28 10:30:00;70000;70000;ПШЕНИЦА;40340003329;40340003329;669105;669105;ТОО ЖАЙЫЛХАНАКТЮБИНСКАЯ ОБЛАСТЬ;;643;4;
1382918;1932940;99601577;РОССИЯ           ;АФГАНИСТАН       ;АЛИМБЕТ (ЭКС    ;АЙТЕКЕ II       ;АЙТЕКЕ II       ;БОЛАШАК(ЭКСП    ;2025-02-25;2025-02-28 10:24:00;70000;70000;ПШЕНИЦА;40340003329;40340003329;669105;669105;ТОО ЖАЙЫЛХАНАКТЮБИНСКАЯ ОБЛАСТЬ;;643;4;
1972553;1980588;98523814;КИТАЙ            ;УЗБЕКИСТАН       ;АЛТЫНКОЛЬ (Э    ;АЛТЫНКОЛЬ       ;АЛТЫНКОЛЬ       ;САРЫАГАШ ЭК     ;2025-03-04;2025-03-05 00:53:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;20540016156;20540016156;707608;707608;"АО ""KTZ Express""";за парожни вагоны взыскивается на месте ;156;860;
3486319;4191562;54639885;РОССИЯ           ;АЗЕРБАЙДЖАН      ;АЛИМБЕТ (ЭКС    ;МАХАМБЕТ        ;МАХАМБЕТ        ;ДИНЫ НУРПЕИС    ;2025-05-26;2025-06-03 18:57:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;60840010501;60840010501;661809;661809;"ТОО ""ТексолТранс""";за парожни вагоны взыскивается на месте ;643;31;
3583030;3491681;37555265;УЗБЕКИСТАН       ;УЗБЕКИСТАН       ;САРЫАГАШ ЭК     ;ШЫМКЕНТ         ;ШЫМКЕНТ         ;САРЫАГАШ ЭК     ;2025-05-21;2025-05-08 06:32:00;0;0;ВАГОНЫ_Ж/Д_ВСЯКИЕ;70840009596;70840009596;698606;698606;ТОО МАЕR СОМРАNУ;за парожни вагоны взыскивается на месте ;860;860;
